,X,year,mean_trophic_level,MTL,TC,FIB,fib_index,df_LRPI,df_LRPI_f
1,1,1950,3.67,3.166050037,44987.00928,0,0,-0.224695337,-0.059745013
2,2,1951,3.69,3.153852576,68116.3915,0.16796705,0.37,-0.173642158,-0.018499934
3,3,1952,3.73,3.14995485,89211.24395,0.281237286,0.68,-0.170983861,-0.088529467
4,4,1953,3.72,3.145337703,94260.16991,0.300528762,0.66,-0.182633697,-0.110658091
5,5,1954,3.68,3.126628834,116762.929,0.374796655,0.76,-0.266112166,-0.115056693
6,6,1955,3.72,3.135955173,136393.4975,0.45161168,0.96,-0.250471684,-0.125710593
7,7,1956,3.67,3.121604692,173793.9047,0.542502073,1.02,-0.242028133,-0.07653946
8,8,1957,3.72,3.124207421,177362.9998,0.553933287,1.08,-0.218983545,-0.067503831
9,9,1958,3.66,3.106264351,198477.2372,0.584837898,0.95,-0.356924002,-0.171531493
10,10,1959,3.69,3.108938434,223671.3444,0.639411623,1.08,-0.24337093,-0.070881961
11,11,1960,3.71,3.107697803,246220.7163,0.679885234,1.09,-0.209045208,0.045293467
12,12,1961,3.68,3.098538512,272501.8326,0.71477078,1.05,-0.256301381,-0.064261761
13,13,1962,3.65,3.094135549,302329.4191,0.755478799,1.03,-0.27445812,-0.026815276
14,14,1963,3.68,3.083645653,330208.1219,0.783296245,1.11,-0.248158747,-0.002456328
15,15,1964,3.62,3.07697022,350848.147,0.802952248,0.96,-0.247983308,0.02435776
16,16,1965,3.65,3.086500482,383955.1266,0.851643793,1.06,-0.205920716,0.12278376
17,17,1966,3.66,3.087131583,405022.7925,0.875473887,1.07,-0.27594979,0.000880848
18,18,1967,3.65,3.079504057,423867.3027,0.887596814,1.02,-0.272632392,0.005234435
19,19,1968,3.65,3.08172266,465144.6682,0.930173548,1.12,-0.317277081,0.004702055
20,20,1969,3.64,3.050312443,478762.4667,0.91129538,1.09,-0.279469015,0.079025448
21,21,1970,3.61,3.082102628,444582.4022,0.910917737,0.95,-0.253156177,0.117335438
22,22,1971,3.63,3.074345575,514953.0242,0.966976029,1.08,-0.161773302,0.07912873
23,23,1972,3.63,3.095348131,617249.418,1.066671661,1.17,-0.24539894,0.045952867
24,24,1973,3.67,3.079585088,690016.2855,1.09930727,1.19,-0.075101463,0.10000601
25,25,1974,3.66,3.050406563,816995.1535,1.143488884,1.26,-0.098131304,0.082447776
26,26,1975,3.56,3.008318891,849943.8901,1.118571988,1.11,0.112635311,0.057824555
27,27,1976,3.49,2.992753202,951552.6437,1.152048863,0.98,-0.047833743,0.162933268
28,28,1977,3.44,2.989397652,930186.4975,1.138830524,0.86,-0.001835508,0.157195102
29,29,1978,3.49,3.043661437,837515.1313,1.14751694,0.95,0.161479179,0.171426473
30,30,1979,3.63,3.052182743,730411.7742,1.096613349,1.24,0.083619646,0.203893724
31,31,1980,3.62,3.054252746,828469.5899,1.153392158,1.21,0.096993143,0.214640252
32,32,1981,3.63,3.091316045,852656.7338,1.202953112,1.25,0.117836248,0.195121478
33,33,1982,3.6,3.061917631,965750.004,1.22764519,1.32,0.171663708,0.218609981
34,34,1983,3.49,2.989157826,998966.9334,1.16957178,1.11,0.004668342,0.180563837
35,35,1984,3.49,2.94632317,1118333.087,1.175757185,1.17,-0.004589715,0.174815536
36,36,1985,3.43,2.907325195,1442237.174,1.247224721,1.07,-0.048973254,0.126818393
37,37,1986,3.35,2.888664724,1837871.41,1.333842687,0.99,-0.079417998,0.055845189
38,38,1987,3.34,2.86124778,2182117.763,1.380988805,1.05,0.007699152,0.127527847
39,39,1988,3.31,2.853705663,2397947.341,1.414408145,1.07,-0.112602036,0.077572351
40,40,1989,3.42,2.926436196,2972223.924,1.580380562,1.25,-0.064585217,0.132392807
41,41,1990,3.44,2.95784887,3389710.681,1.668874342,1.42,0.116241739,0.245504949
42,42,1991,3.5,2.963190663,3916099.248,1.736907193,1.62,0.012627875,0.108724099
43,43,1992,3.46,2.949692309,4381690.046,1.772196803,1.64,-0.068551246,0.044112171
44,44,1993,3.42,2.921514474,5069770.913,1.80736565,1.54,-0.083823529,-0.018181063
45,45,1994,3.43,2.940886193,5681309.961,1.876197518,1.76,-0.033042009,0.018438878
46,46,1995,3.44,2.960135665,6883199.07,1.978788836,1.92,-0.057859057,0.000660574
47,47,1996,3.5,2.970923051,7693244.988,2.037895454,2.18,-0.115238896,-0.012966418
48,48,1997,3.41,2.924820825,7301091.787,1.969071474,2.04,-0.088344836,-0.032587895
49,49,1998,3.45,2.940343372,7904124.012,2.019059958,2.11,-0.002821503,0.03104556
50,50,1999,3.45,2.938024253,7676078.244,2.004026487,1.96,-0.048814269,0.075931623
51,51,2000,3.44,2.945564708,7233242.452,1.985760571,1.91,-0.057029444,0.037064675
52,52,2001,3.43,2.954037395,7215930.284,1.993192564,1.96,-0.072616451,-0.074312379
53,53,2002,3.44,2.951345081,7076834.682,1.982046972,1.97,-0.052701605,-0.053282514
54,54,2003,3.47,3.002297121,6890705.258,2.021423635,2.09,0.012097804,-0.000309106
55,55,2004,3.47,3.016209414,6904149.38,2.036182434,2.1,-0.011013329,0.028850296
56,56,2005,3.46,3.004729062,7026162.561,2.032310096,2.06,-0.186422382,-0.030796945
57,57,2006,3.47,3.041882088,7088471.806,2.073297545,2.08,-0.240777438,-0.110718149
58,58,2007,3.48,3.025488032,6881754.973,2.044050078,2.08,-0.07832799,0.061565145
59,59,2008,3.5,3.053547445,6914352.765,2.074161819,2.14,-0.021731007,0.078031915
60,60,2009,3.49,3.041984111,6866427.959,2.05957782,2.14,-0.223547455,-0.145687377
61,61,2010,3.5,3.042143672,7016828.561,2.069147378,2.18,-0.186565881,-0.082534358
62,62,2011,3.49,3.045650576,7119602.47,2.078969162,2.19,-0.18664957,-0.082591046
63,63,2012,3.49,3.02956665,6862201.022,2.046892927,2.21,-0.186694655,-0.082582821
64,64,2013,3.48,3.031920357,7159223.957,2.067649146,2.21,-0.186856646,-0.082770291
65,65,2014,3.54,3.056288248,9986901.174,2.236581841,2.3,-0.186856646,-0.082770291
