"","year","RC_larg","RC_med","RC_ceph","RC_shri","RC_lob","RC_jell","RC_small"
"1",1950,0.331232442,0.239535734,0.137127745,0.215684673,0,0.073949031,0.002470375
"2",1951,0.322961412,0.226460807,0.14300904,0.212420326,0,0.077689914,0.017458501
"3",1952,0.320613654,0.224437296,0.135833448,0.210485816,0.001298139,0.081788774,0.025542873
"4",1953,0.321973345,0.232697294,0.11411611,0.210190182,0.001115253,0.086596493,0.033311322
"5",1954,0.333581263,0.235369224,0.079884891,0.215825249,0.000697361,0.093709823,0.04093219
"6",1955,0.321134556,0.22024168,0.108935419,0.209969304,0.000507096,0.095989373,0.043222572
"7",1956,0.302332391,0.211771792,0.118226408,0.205315841,1.13e-06,0.098057436,0.064295006
"8",1957,0.295320102,0.204972043,0.132281288,0.20705932,1.1e-06,0.103205933,0.057160218
"9",1958,0.287981641,0.208596622,0.121704509,0.204206838,0.000362097,0.105814203,0.071334091
"10",1959,0.286463695,0.187266635,0.143201657,0.203070117,0.000318312,0.109527356,0.070152228
"11",1960,0.278269181,0.213507102,0.135130094,0.196810071,7.92e-06,0.110034718,0.066240912
"12",1961,0.260890679,0.19535788,0.170591571,0.188691776,0.000251015,0.110408381,0.073808699
"13",1962,0.268081324,0.200713766,0.136872357,0.192440956,0.00024796,0.116885856,0.084757781
"14",1963,0.250654131,0.17554368,0.198014695,0.183484749,0.000234231,0.114778415,0.077290098
"15",1964,0.256365316,0.190127819,0.147609326,0.186379539,0.000203815,0.121015822,0.098298362
"16",1965,0.259234311,0.211984309,0.131345439,0.18823087,0.000223337,0.12616608,0.082815655
"17",1966,0.260953821,0.199673644,0.133644067,0.190867257,0.000167464,0.13109041,0.083603338
"18",1967,0.266587522,0.226622254,0.092911877,0.193828876,0.00016318,0.137673115,0.082213176
"19",1968,0.254069072,0.216901039,0.11708676,0.190077797,0.000154206,0.139514407,0.082196719
"20",1969,0.255297269,0.216543342,0.104807324,0.192215255,0.000148261,0.144993721,0.085994827
"21",1970,0.256813975,0.222314436,0.103449292,0.203014914,0.000334592,0.120433823,0.093638968
"22",1971,0.25026686,0.243633624,0.089973033,0.180659878,0.000369181,0.154550815,0.080546609
"23",1972,0.275507299,0.223217868,0.089288471,0.169399361,0.000280822,0.160039342,0.082266837
"24",1973,0.294940298,0.216108737,0.056502852,0.203825066,0.000583433,0.149092404,0.078947209
"25",1974,0.269186315,0.235020653,0.042721158,0.210141629,0.000509046,0.167594652,0.074826547
"26",1975,0.222195542,0.233857422,0.050877126,0.191572813,0.000332672,0.195029014,0.10613541
"27",1976,0.191441035,0.226857954,0.071117192,0.183635998,0.001699974,0.207532721,0.117715127
"28",1977,0.178733709,0.245707975,0.045247561,0.21504713,0.000947162,0.192904959,0.121411503
"29",1978,0.188187722,0.288404739,0.054735119,0.258493719,0.001225387,0.177012539,0.031940774
"30",1979,0.242728553,0.189700078,0.094285606,0.251881406,0.000181625,0.202097517,0.019125215
"31",1980,0.230216628,0.215270256,0.088598979,0.248706114,0.000138353,0.191229679,0.025839992
"32",1981,0.26219134,0.210359038,0.07098283,0.243666159,0.000186817,0.183928739,0.028685076
"33",1982,0.235837698,0.208462699,0.079332386,0.242869009,0.000169229,0.189606209,0.043722771
"34",1983,0.197494006,0.169726444,0.061533263,0.264851838,0.00032298,0.200279898,0.105791571
"35",1984,0.186073187,0.167938897,0.096915497,0.277802981,0.000255645,0.180839754,0.09017404
"36",1985,0.169537977,0.136254617,0.073448869,0.323121302,0.000273779,0.192936322,0.104427134
"37",1986,0.14818674,0.169554946,0.057939245,0.289489165,0.000439992,0.205677745,0.128712167
"38",1987,0.126756585,0.139309104,0.081445556,0.247847307,0.041603228,0.216587835,0.146450386
"39",1988,0.103777607,0.103238678,0.086261945,0.276473224,0.035724624,0.244784246,0.149739676
"40",1989,0.115953318,0.144233522,0.101420907,0.248534676,0.045849997,0.252799657,0.091207923
"41",1990,0.136561522,0.163088372,0.093846515,0.229064028,0.040050845,0.244958524,0.092430194
"42",1991,0.140094349,0.14657955,0.123886873,0.226086002,0.039955518,0.235939055,0.087458653
"43",1992,0.128407132,0.132106043,0.112873488,0.215695258,0.040722392,0.262717646,0.107478041
"44",1993,0.117578875,0.119760184,0.129781381,0.244478324,0.027661334,0.245687583,0.115052318
"45",1994,0.124073842,0.12014137,0.134717394,0.233820923,0.051192418,0.221942343,0.114111709
"46",1995,0.144909649,0.135854626,0.120502445,0.226165711,0.042209218,0.200126327,0.130232026
"47",1996,0.133064511,0.146851149,0.145065466,0.210210167,0.044503666,0.227692572,0.092612468
"48",1997,0.121273632,0.11740218,0.130101407,0.239991542,0.037292606,0.22210145,0.131837182
"49",1998,0.137425288,0.119110501,0.14472135,0.237007722,0.036366729,0.204751952,0.120616458
"50",1999,0.13574203,0.120859201,0.13571403,0.247712812,0.03664872,0.208486581,0.114836626
"51",2000,0.127856987,0.127087626,0.119629901,0.262535628,0.050772666,0.196981703,0.115135489
"52",2001,0.144212768,0.126719366,0.114032307,0.260475366,0.051406494,0.180922869,0.122230831
"53",2002,0.138049547,0.132330938,0.109560947,0.258913775,0.052992547,0.183736622,0.124415624
"54",2003,0.145758185,0.175554341,0.15649979,0.173659533,0.112944245,0.138374109,0.097209797
"55",2004,0.145060269,0.180706629,0.155530744,0.162596048,0.12805047,0.137314526,0.090741315
"56",2005,0.135567338,0.18134727,0.152269304,0.179657467,0.117183341,0.140723675,0.093251604
"57",2006,0.164113769,0.184728189,0.132437841,0.182687444,0.113076226,0.128069041,0.094887489
"58",2007,0.136142415,0.192128938,0.14713896,0.195097483,0.107946219,0.130207309,0.091338676
"59",2008,0.165843075,0.192655568,0.137989012,0.169728576,0.108302887,0.137631821,0.087849061
"60",2009,0.153425552,0.185809304,0.12837962,0.16621615,0.103747786,0.176419679,0.086001909
"61",2010,0.148061081,0.188665994,0.12887013,0.16206143,0.110965155,0.179187752,0.082188457
"62",2011,0.14995649,0.188328897,0.127771083,0.154435914,0.118039257,0.183426698,0.078041661
"63",2012,0.132607712,0.177584324,0.137579012,0.161438159,0.12331876,0.193394882,0.074077149
"64",2013,0.135283653,0.174242061,0.128804246,0.16348921,0.13111377,0.193508324,0.073558735
"65",2014,0.156576689,0.192188642,0.110595268,0.200719516,0.128435952,0.177277374,0.034206558
