year,N_bt,N_bt_se,N_c,N_c_se,N_of,N_of_se,H_bt,H_bt_se,H_dobt,H_dobt_se,H_c,H_c_se,H_of,H_of_se,RN_bt,RN_bt_se,RH_bt,RH_bt_se,N_dvc,N_dvc_se,N_dbt,N_dbt_se,N_dof,N_dof_se,N_dobt,N_dobt_se,H_dvc,H_dvc_se,H_dbt,H_dbt_se,H_dof,H_dof_se,RN_dbt,RN_dbt_se,RH_dbt,RH_dbt_se,C_bt,C_bt_se,V_bt,V_bt_se,C_of,C_of_se,V_of,V_of_se,C_bt_eez,C_bt_eez_se,V_bt_eez,V_bt_eez_se,C_bt_byeez,C_bt_byeez_se,V_bt_byeez,V_bt_byeez_se,C_bt_dom,C_bt_dom_se,V_bt_dom,V_bt_dom_se,C_bt_bydom,C_bt_bydom_se,V_bt_bydom,V_bt_bydom_se,all_c,all_c_se,all_v,all_v_se,RC_bt_all,RC_bt_all_se,RV_bt_all,RV_bt_all_se,RC_bt_eez,RC_bt_eez_se,RV_bt_eez,RV_bt_eez_se,RC_bt_dom,RC_bt_dom_se,RV_bt_dom,RV_bt_dom_se,HpV_bt,HpV_bt_se,HpV_of,HpV_of_se,HpV_dbt,HpV_dbt_se,HpV_dobt,HpV_dobt_se,HpV_c,HpV_c_se,HpV_dc,HpV_dc_se,HpV_dof,HpV_dof_se,RHpV_bt_of,RHpV_bt_of_se,RHpV_dbt_dobt,RHpV_dbt_dobt_se,RHpV_dbt_dof,RHpV_dbt_dof_se,CpH_bt,CpH_bt_se,CpH_of,CpH_of_se,CpH_dobt,CpH_dobt_se,CpH_dbt,CpH_dbt_se,RCpH_dbt_dobt,RCpH_dbt_dobt_se,RCpH_bt_of,RCpH_bt_of_se,VpH_dobt,VpH_dobt_se,VpH_bt,VpH_bt_se,VpH_dbt,VpH_dbt_se,VpH_of,VpH_of_se,RVpH_bt_of,RVpH_bt_of_se,RVpH_dbt_dobt,RVpH_dbt_dobt_se,VpC_bt,VpC_bt_se,VpC_of,VpC_of_se,VpC_bt_eez,VpC_bt_eez_se,VpC_bt_byeez,VpC_bt_byeez_se,VpC_bt_dom,VpC_bt_dom_se,VpC_bt_bydom,VpC_bt_bydom_se,RVpC_bt_of,RVpC_bt_of_se,RVpC_eez_by,RVpC_eez_by_se,RVpC_dom_by,RVpC_dom_by_se
1950,183,29,183,29,0,0,11822.37075,1904.131769,11822.37075,1904.131769,11822.37075,1904.131769,0,0,100,0,100,0,,,,,,,,,,,,,,,,,,,44987.00928,0,75795079.87,0,898293.3114,0,1547932647,0,43719.00928,0,75266323.87,0,1268,0,528756,0,44987.00928,0,75795079.87,0,0,0,0,0,943280.3207,0,1623727727,0,4.769208929,0,4.667967333,0,97.18140854,0,99.30238744,0,100,0,100,0,64.60311885,14.59710468,0,0,,,64.60311885,14.59710468,64.60311885,14.59710468,,,,,,,,,,,3.805244331,0.612879326,,,3.805244331,0.612879326,,,,,,,6411.157413,1032.592258,6411.157413,1032.592258,,,,,,,,,1684.821487,0,1723.19289,0,1721.592623,0,417,0,1684.821487,0,0,0,0.977732381,0,4.12851948,0,,0
1951,211,1,211,1,0,0,13664.0466,106.7634132,13664.0466,106.7634132,13664.0466,106.7634132,0,0,100,0,100,0,,,,,,,,,,,,,,,,,,,68116.3915,0,115851478.9,0,1180443.352,0,1868131863,0,66264.3915,0,115044006.9,0,1852,0,807472,0,68116.3915,0,115851478.9,0,0,0,0,0,1248559.743,0,1983983342,0,5.45559729,0,5.839337279,0,97.28112432,0,99.30301106,0,100,0,100,0,64.75851469,0.591792877,0,0,,,64.75851469,0.591792877,64.75851469,0.591792877,,,,,,,,,,,4.985081908,0.038950713,,,4.985081908,0.038950713,,,,,,,8478.562924,66.24686986,8478.562924,66.24686986,,,,,,,,,1700.787084,0,1582.56799,0,1736.136171,0,436,0,1700.787084,0,0,0,1.0747008,0,3.981963694,0,,0
1952,264,1,264,1,0,0,15877.97545,106.7634132,15877.97545,106.7634132,15877.97545,106.7634132,0,0,100,0,100,0,,,,,,,,,,,,,,,,,,,89211.24395,0,123714095.7,0,1411035.387,0,1660676224,0,86899.24395,0,122803167.7,0,2312,0,910928,0,89211.24395,0,123714095.7,0,0,0,0,0,1500246.631,0,1784390320,0,5.946438546,0,6.933129726,0,97.40839843,0,99.26368293,0,100,0,100,0,60.1438464,0.464161366,0,0,,,60.1438464,0.464161366,60.1438464,0.464161366,,,,,,,,,,,5.618552833,0.037779116,,,5.618552833,0.037779116,,,,,,,7791.553532,52.39035996,7791.553532,52.39035996,,,,,,,,,1386.754519,0,1176.920323,0,1413.167274,0,394,0,1386.754519,0,0,0,1.17829091,0,3.58671897,0,,0
1953,265,1,267,1,2,0,15592.6203,106.7634132,15592.6203,106.7634132,15710.14342,106.7634132,117.5231128,0,99.5,0.65,99.3,1,,,,,,,,,,,,,,,,,,,94260.16991,0,145665812,0,1417493.343,0,1803477650,0,91836.16991,0,144516836,0,2424,0,1148976,0,94260.16991,0,145665812,0,0,0,0,0,1511753.513,0,1949143462,0,6.23515468,0,7.473324301,0,97.4283942,0,99.21122466,0,100,0,100,0,58.8400766,0.460015029,58.7615564,0,,,58.8400766,0.460015029,58.83948846,0.456568161,,,,,1.001336251,0.500729326,,,,,6.045178302,0.041391624,12061.4006,0,6.045178302,0.041391624,,,,,0.0005012,3.43E-06,9341.971343,63.96492234,9341.971343,63.96492234,,,15345727.38,0,0.000608767,4.17E-06,,,1545.359107,0,1272.300614,0,1573.637447,0,474,0,1545.359107,0,0,0,1.214617906,0,3.319910227,0,,0
1954,290,2,321,5,31,6,17234.86827,106.7634132,17234.86827,106.7634132,26139.58609,628.5035387,8904.717822,637.5069604,90.4,1.57,65.9,1.6,,,,,,,,,,,,,,,,,,,116762.929,0,327119934.6,0,1674207.219,0,3174564785,0,113866.929,0,325799358.6,0,2896,0,1320576,0,116762.929,0,327119934.6,0,0,0,0,0,1790970.148,0,3501684720,0,6.519535188,0,9.34178719,0,97.51976075,0,99.59630219,0,100,0,100,0,59.43058024,0.550930484,287.248962,59.2780526,,,59.43058024,0.550930484,81.43173237,2.332904631,,,,,0.206895718,0.042739034,,,,,6.774808323,0.041967345,188.0135062,13.46027142,6.774808323,0.041967345,,,,,0.036033626,2.59E-03,18980.12387,117.5746037,18980.12387,117.5746037,,,356503.6926,25522.82846,0.053239628,3.83E-03,,,2801.573559,0,1896.160015,0,2861.228993,0,456,0,2801.573559,0,0,0,1.47749849,0,6.274624985,0,,0
1955,339,2,541,9,202,9,21462.78324,106.7634132,21462.78324,106.7634132,35960.34513,835.1341222,14497.56189,841.9307741,62.6,1.06,59.7,1.4,,,,,,,,,,,,,,,,,,,136393.4975,0,382215725.1,0,1822388.29,0,3396643261,0,133261.4975,0,380784401.1,0,3132,0,1431324,0,136393.4975,0,382215725.1,0,0,0,0,0,1958781.787,0,3778858986,0,6.963179789,0,10.11458026,0,97.70370285,0,99.62551933,0,100,0,100,0,63.31204496,0.488573293,71.77010837,5.253299301,,,63.31204496,0.488573293,66.47013887,1.898876854,,,,,0.882150611,0.06492793,,,,,6.354883986,0.031611422,125.7030874,7.300075594,6.354883986,0.031611422,,,,,0.050554717,2.95E-03,17808.30197,88.58474134,17808.30197,88.58474134,,,234290.6543,13606.18519,0.076009442,4.43E-03,,,2802.301665,0,1863.841685,0,2857.422498,0,457,0,2802.301665,0,0,0,1.503508419,0,6.252565642,0,,0
1956,372,2,1064,17,692,17,26462.80712,106.7634132,26462.80712,106.7634132,56363.27366,1263.045046,29900.46654,1267.549295,35,0.58,47,1.1,,,,,,,,,,,,,,,,,,,173793.9047,0,484840680.2,0,2133088.34,0,3992305040,0,170201.9047,0,483357184.2,0,3592,0,1483496,0,173793.9047,0,484840680.2,0,0,0,0,0,2306882.245,0,4477145720,0,7.533713742,0,10.82923609,0,97.93318413,0,99.69402402,0,100,0,100,0,71.13657828,0.478162848,43.20876668,2.117061146,,,71.13657828,0.478162848,52.97300156,1.457905488,,,,,1.646345956,0.08142009,,,,,6.567478042,0.026496296,71.33963402,3.024250564,6.567478042,0.026496296,,,,,0.092059318,3.92E-03,18321.58916,73.91790998,18321.58916,73.91790998,,,133519.8243,5660.211321,0.137219992,5.84E-03,,,2789.74502,0,1871.607924,0,2839.904671,0,413,0,2789.74502,0,0,0,1.490560595,0,6.876282497,0,,0
1957,419,2,1381,21,963,21,31714.21528,106.7634132,31714.21528,106.7634132,73615.05906,1590.094023,41900.84378,1593.674191,30.3,0.49,43.1,0.9,,,,,,,,,,,,,,,,,,,177362.9998,0,507608448.6,0,2010081.559,0,3884238198,0,168649.2188,0,492280832.1,0,8713.781,0,15327616.5,0,177362.9998,0,507608448.6,0,0,0,0,0,2187444.559,0,4391846647,0,8.108228347,0,11.55797298,0,95.08703562,0,96.98042526,0,100,0,100,0,75.69025126,0.442104267,43.5107412,1.907615196,,,75.69025126,0.442104267,53.30561844,1.408114994,,,,,1.739576233,0.076941059,,,,,5.592539441,0.018826844,47.97234083,1.824600045,5.592539441,0.018826844,,,,,0.116578415,4.45E-03,16005.70735,53.88195584,16005.70735,53.88195584,,,92700.71549,3525.817727,0.17266002,6.59E-03,,,2861.974872,0,1932.378406,0,2918.963014,0,1759.00869,0,2861.974872,0,0,0,1.481063369,0,1.659436381,0,,0
1958,519,3,1334,20,815,20,40173.44231,106.7634132,40173.44231,106.7634132,86039.67167,1789.385956,45866.22936,1792.568137,38.9,0.62,46.7,1,,,,,,,,,,,,,,,,,,,198477.2372,0,574918389.6,0,2120297.433,0,4184757555,0,182913.1665,0,541344271.7,0,15564.0707,0,33574117.9,0,198477.2372,0,574918389.6,0,0,0,0,0,2318774.67,0,4759675945,0,8.559574148,0,12.07893975,0,92.15825909,0,94.16019412,0,100,0,100,0,77.40547651,0.492453648,56.27758204,2.597104913,,,77.40547651,0.492453648,64.497505,1.653577565,,,,,1.375422925,0.06407352,,,,,4.940508599,0.013129708,46.22785571,1.806701409,4.940508599,0.013129708,,,,,0.106872978,4.19E-03,14310.90682,38.03212198,14310.90682,38.03212198,,,91238.31659,3565.823951,0.156851938,6.14E-03,,,2896.646475,0,1973.66534,0,2959.569735,0,2157.155319,0,2896.646475,0,0,0,1.467648246,0,1.371978044,0,,0
1959,560,3,2280,34,1720,34,45972.26645,106.7634132,45972.26645,106.7634132,132587.3394,2651.793472,86615.07295,2653.941794,24.6,0.38,34.7,0.7,,,,,,,,,,,,,,,,,,,223671.3444,0,699355771.1,0,2123143.704,0,4589756060,0,200538.8337,0,640598575.7,0,23132.5107,0,58757195.4,0,223671.3444,0,699355771.1,0,0,0,0,0,2346815.048,0,5289111831,0,9.530846693,0,13.22255595,0,89.65781211,0,91.59838271,0,100,0,100,0,82.09333295,0.479331301,50.35760055,1.836224115,,,82.09333295,0.479331301,58.15234184,1.450770051,,,,,1.630207398,0.060200653,,,,,4.865353868,0.011299025,24.5124045,0.75107591,4.865353868,0.011299025,,,,,0.198485378,6.10E-03,15212.55803,35.32879155,15212.55803,35.32879155,,,52990.26952,1623.656093,0.287082103,8.82E-03,,,3126.711528,0,2161.773624,0,3194.386663,0,2540.026725,0,3126.711528,0,0,0,1.446363992,0,1.257619312,0,,0
1960,656,3,3279,47,2624,48,56929.80687,106.7634132,56929.80687,106.7634132,191490.1431,3678.421763,134560.3362,3679.970801,20,0.31,29.7,0.6,,,,,,,,,,,,,,,,,,,246220.7163,0,782305687.9,0,2214514.824,0,4826634572,0,216428.5567,0,699860405.1,0,29792.1596,0,82445282.8,0,246220.7163,0,782305687.9,0,0,0,0,0,2460735.54,0,5608940260,0,10.00598042,0,13.94747763,0,87.90022219,0,89.46124462,0,100,0,100,0,86.78324218,0.428948372,51.28061593,1.687234619,,,86.78324218,0.428948372,58.39894575,1.399695479,,,,,1.692320589,0.056305522,,,,,4.324987732,0.008110873,16.4574115,0.450079091,4.324987732,0.008110873,,,,,0.262798784,7.20E-03,13741.58338,25.7703025,13741.58338,25.7703025,,,35869.6679,980.9676034,0.383097591,1.05E-02,,,3177.253724,0,2179.544937,0,3233.678659,0,2767.348319,0,3177.253724,0,0,0,1.457760136,0,1.168511617,0,,0
1961,720,4,4029,58,3309,58,65268.19475,106.7634132,65268.19475,106.7634132,239261.7773,4408.248143,173993.5825,4409.540806,17.9,0.27,27.3,0.5,,,,,,,,,,,,,,,,,,,272501.8326,0,874416304.4,0,1933812.16,0,4708176066,0,235087.2832,0,767905982.7,0,37414.5494,0,106510321.7,0,272501.8326,0,874416304.4,0,0,0,0,0,2206313.993,0,5582592370,0,12.35099961,0,15.66326621,0,86.26998246,0,87.81926627,0,100,0,100,0,90.65027049,0.524988924,52.58192279,1.620259773,,,90.65027049,0.524988924,59.38490377,1.388504541,,,,,1.723981659,0.054052887,,,,,4.175109081,0.006829496,11.11427291,0.281670388,4.175109081,0.006829496,,,,,0.375652921,9.54E-03,13397.28037,21.91479917,13397.28037,21.91479917,,,27059.48115,685.7717659,0.495104851,1.26E-02,,,3208.845592,0,2434.660493,0,3266.471807,0,2846.762113,0,3208.845592,0,0,0,1.317984829,0,1.147434059,0,,0
1962,858,5,4821,68,3962,68,83092.21463,106.7634132,83092.21463,106.7634132,303899.6515,5362.256643,220807.4369,5363.319376,17.8,0.27,27.3,0.5,,,,,,,,,,,,,,,,,,,302329.4191,0,1024923736,0,2100106.46,0,5157680982,0,255399.9866,0,885486513.5,0,46929.4325,0,139437222.5,0,302329.4191,0,1024923736,0,0,0,0,0,2402435.879,0,6182604718,0,12.58428671,0,16.57753945,0,84.47738475,0,86.3953563,0,100,0,100,0,96.844073,0.577914418,55.73130664,1.657529853,,,96.844073,0.577914418,63.03664209,1.423972114,,,,,1.737696079,0.052711646,,,,,3.638480698,0.004675006,9.511031374,0.231018935,3.638480698,0.004675006,,,,,0.382553748,9.31E-03,12334.77457,15.84868859,12334.77457,15.84868859,,,23358.27567,567.3626499,0.528068713,1.28E-02,,,3390.089324,0,2455.91406,0,3467.057792,0,2971.210498,0,3390.089324,0,0,0,1.380377831,0,1.166883933,0,,0
1963,862,5,5429,76,4566,76,89398.17502,106.7634132,89398.17502,106.7634132,350720.9505,5916.816631,261322.7755,5917.779775,15.9,0.24,25.5,0.4,,,,,,,,,,,,,,,,,,,330208.1219,0,1059764841,0,1997993.448,0,4907210772,0,275959.8798,0,901192290,0,54248.2421,0,158572551,0,330208.1219,0,1059764841,0,0,0,0,0,2328201.57,0,5966975613,0,14.18296964,0,17.7605023,0,83.57149976,0,85.03700587,0,100,0,100,0,103.7101798,0.614185017,57.23232052,1.608488892,,,103.7101798,0.614185017,64.60139077,1.41620157,,,,,1.81209112,0.052046387,,,,,3.693678555,0.004411161,7.645691977,0.173140367,3.693678555,0.004411161,,,,,0.483105854,1.10E-02,11854.43484,14.15711143,11854.43484,14.15711143,,,18778.35088,425.2447757,0.631281997,1.43E-02,,,3209.384539,0,2456.069502,0,3265.664163,0,2923.091051,0,3209.384539,0,0,0,1.306715684,0,1.117195498,0,,0
1964,882,5,6166,85,5284,85,94168.42057,107.4810946,94168.42057,107.4810946,395835.9724,6373.246436,301667.5518,6374.152675,14.3,0.21,23.8,0.4,,,,,,,,,,,,,,,,,,,350848.147,0,1223967386,0,2032629.688,0,5225685797,0,288583.9944,0,1024795925,0,62264.1526,0,199171461,0,350848.147,0,1223967386,0,0,0,0,0,2383477.835,0,6449653183,0,14.7200088,0,18.97725895,0,82.25324741,0,83.72738822,0,100,0,100,0,106.7669167,0.617400344,57.09075545,1.51611626,,,106.7669167,0.617400344,64.19655731,1.360705285,,,,,1.870126185,0.050827327,,,,,3.725751636,0.004252464,6.737979196,0.142371653,3.725751636,0.004252464,,,,,0.552947928,1.17E-02,12997.64166,14.83512991,12997.64166,14.83512991,,,17322.66452,366.0231528,0.750325774,1.59E-02,,,3488.59584,0,2570.899081,0,3551.118374,0,3198.814289,0,3488.59584,0,0,0,1.356955575,0,1.110135836,0,,0
1965,830,5,7117,97,6287,98,92049.8422,107.5266696,92049.8422,107.5266696,439138.3033,6734.22882,347088.4611,6735.087214,11.7,0.17,21,0.3,,,,,,,,,,,,,,,,,,,383955.1266,0,1474905837,0,2108816.791,0,5769094862,0,311946.2998,0,1213110845,0,72008.8268,0,261794992,0,383955.1266,0,1474905837,0,0,0,0,0,2492771.918,0,7244000699,0,15.40273797,0,20.36037679,0,81.24550975,0,82.25005384,0,100,0,100,0,110.9034243,0.680537583,55.2073264,1.374111,,,110.9034243,0.680537583,61.70272633,1.265919942,,,,,2.008853381,0.051497495,,,,,4.171165506,0.004872486,6.075732925,0.11789672,4.171165506,0.004872486,,,,,0.686528779,1.33E-02,16022.90457,18.71692036,16022.90457,18.71692036,,,16621.3963,322.5303236,0.963992692,1.87E-02,,,3841.349509,0,2735.70226,0,3888.845118,0,3635.595852,0,3841.349509,0,0,0,1.404154818,0,1.069658256,0,,0
1966,836,5,8489,115,7653,115,93422.44347,107.5207633,93422.44347,107.5207633,487794.08,7108.563591,394371.6365,7109.376699,9.8,0.14,19.2,0.3,,,,,,,,,,,,,,,,,,,405022.7925,0,1607272073,0,2245214.346,0,6097237339,0,326075.4425,0,1313243815,0,78947.35,0,294028258,0,405022.7925,0,1607272073,0,0,0,0,0,2650237.138,0,7704509412,0,15.28251139,0,20.86144603,0,80.50792413,0,81.70637922,0,100,0,100,0,111.7493343,0.680619442,51.53163942,1.209381418,,,111.7493343,0.680619442,57.46190128,1.143316317,,,,,2.168557716,0.052579182,,,,,4.335390699,0.004989642,5.693143569,0.102630865,4.335390699,0.004989642,,,,,0.761510868,1.38E-02,17204.34634,19.80064299,17204.34634,19.80064299,,,15460.63858,278.7104688,1.112783683,2.01E-02,,,3968.34969,0,2715.659353,0,4027.42324,0,3724.358804,0,3968.34969,0,0,0,1.461284047,0,1.081373587,0,,0
1967,817,4,9329,125,8513,125,92586.96154,107.5387628,92586.96154,107.5387628,528549.4499,7301.019523,435962.4884,7301.811464,8.8,0.13,17.5,0.2,,,,,,,,,,,,,,,,,,,423867.3027,0,1602285604,0,1979540.466,0,5494817202,0,338366.0391,0,1301009930,0,85501.2636,0,301275674,0,423867.3027,0,1602285604,0,0,0,0,0,2403407.769,0,7097102806,0,17.63609605,0,22.57661539,0,79.8282946,0,81.19713032,0,100,0,100,0,113.3255343,0.570236813,51.21138123,1.140672371,,,113.3255343,0.570236813,56.65660305,1.090316455,,,,,2.212897438,0.050531741,,,,,4.578045285,0.00531735,4.540621082,0.076049568,4.578045285,0.00531735,,,,,1.008242089,1.69E-02,17305.73698,20.10042789,17305.73698,20.10042789,,,12603.87613,211.0987291,1.373048798,2.31E-02,,,3780.15854,0,2775.804434,0,3844.977863,0,3523.640018,0,3780.15854,0,0,0,1.36182452,0,1.091194856,0,,0
1968,818,4,10048,132,9231,132,91654.89493,107.5378863,91654.89493,107.5378863,553285.04,7223.469998,461630.1451,7224.270427,8.1,0.12,16.6,0.2,,,,,,,,,,,,,,,,,,,465144.6682,0,1831021781,0,1993961.054,0,5806031017,0,368092.3487,0,1467224031,0,97052.3195,0,363797750,0,465144.6682,0,1831021781,0,0,0,0,0,2459105.722,0,7637052798,0,18.91519604,0,23.97550245,0,79.13502484,0,80.13143515,0,100,0,100,0,112.0475488,0.563460745,50.00868217,1.060120266,,,112.0475488,0.563460745,55.06419586,1.019844863,,,,,2.240561917,0.048815175,,,,,5.074957192,0.005954403,4.319390913,0.06759621,5.074957192,0.005954403,,,,,1.174924265,1.84E-02,19977.34854,23.43924825,19977.34854,23.43924825,,,12577.23543,196.827159,1.588373585,2.49E-02,,,3936.456561,0,2911.807633,0,3986.021541,0,3748.470432,0,3936.456561,0,0,0,1.351894444,0,1.063372811,0,,0
1969,758,4,11809,153,11051,153,89382.1648,107.5993069,89382.1648,107.5993069,627823.8046,7721.559335,538441.6398,7722.308992,6.4,0.09,14.2,0.2,,,,,,,,,,,,,,,,,,,478762.4667,0,1915637147,0,2148468.546,0,6107523244,0,374584.9824,0,1519009908,0,104177.4843,0,396627239,0,478762.4667,0,1915637147,0,0,0,0,0,2627231.013,0,8023160391,0,18.22308219,0,23.87634116,0,78.24025659,0,79.29528358,0,100,0,100,0,117.9184232,0.638246636,48.72334086,0.971261795,,,117.9184232,0.638246636,53.1648577,0.949744085,,,,,2.420162927,0.049990836,,,,,5.356353449,0.006448042,3.990160469,0.057226726,5.356353449,0.006448042,,,,,1.342390485,1.93E-02,21431.98424,25.80007605,21431.98424,25.80007605,,,11342.96234,162.6803234,1.889452119,2.72E-02,,,4001.226663,0,2842.733376,0,4055.181012,0,3807.226117,0,4001.226663,0,0,0,1.407527943,0,1.065127441,0,,0
1970,770,4,13258,167,12488,167,91204.76181,108.0262576,91204.76181,108.0262576,685454.5431,7911.859617,594249.7813,7912.597062,5.8,0.08,13.3,0.2,,,,,,,,,,,,,,,,,,,444582.4022,0,1731603146,0,2072887.315,0,5636823729,0,342522.6602,0,1357275919,0,102059.742,0,374327227,0,444582.4022,0,1731603146,0,0,0,0,0,2517469.717,0,7368426875,0,17.65989077,0,23.50030984,0,77.0436838,0,78.3826203,0,100,0,100,0,118.4477426,0.631104101,47.58566474,0.898007491,,,118.4477426,0.631104101,51.70120253,0.883308323,,,,,2.489147588,0.048810029,,,,,4.874552527,0.005773598,3.488242453,0.046446895,4.874552527,0.005773598,,,,,1.397423658,1.87E-02,18985.88529,22.48757735,18985.88529,22.48757735,,,9485.613468,126.3035168,2.001545325,2.68E-02,,,3894.898083,0,2719.310253,0,3962.587229,0,3667.726565,0,3894.898083,0,0,0,1.432311035,0,1.080393306,0,,0
1971,846,5,15109,185,14263,185,104645.3487,108.8113653,104645.3487,108.8113653,705314.263,7607.267114,600668.9143,7608.045272,5.6,0.08,14.8,0.2,,,,,,,,,,,,,,,,,,,514953.0242,0,1507440822,0,1989688.584,0,4422987219,0,401940.3854,0,1193842134,0,113012.6388,0,313598688,0,514953.0242,0,1507440822,0,0,0,0,0,2504641.608,0,5930428041,0,20.55994848,0,25.41875243,0,78.05379647,0,79.19661698,0,100,0,100,0,123.6942656,0.742281678,42.11378492,0.763484102,,,123.6942656,0.742281678,46.68173029,0.761719924,,,,,2.937144354,0.056089056,,,,,4.920935623,0.005116842,3.312454726,0.041955402,4.920935623,0.005116842,,,,,1.485585775,1.89E-02,14405.23483,14.97871897,14405.23483,14.97871897,,,7363.436185,93.26494933,1.95631964,2.49E-02,,,2927.336575,0,2222.954514,0,2970.197018,0,2774.899262,0,2927.336575,0,0,0,1.31686751,0,1.070380125,0,,0
1972,779,4,16756,198,15978,198,141373.7929,108.9908996,141373.7929,108.9908996,903140.6867,9056.580455,761766.8938,9057.236254,4.6,0.06,15.7,0.2,,,,,,,,,,,,,,,,,,,617249.418,0,1949795113,0,2212696.508,0,5014505057,0,413221.7312,0,1341908904,0,204027.6868,0,607886209,0,617249.418,0,1949795113,0,0,0,0,0,2829945.926,0,6964300170,0,21.81135026,0,27.99699992,0,66.94566559,0,68.82307249,0,100,0,100,0,181.4811205,0.942311779,47.67598534,0.818763891,,,181.4811205,0.942311779,53.89953967,0.8353416,,,,,3.806552066,0.068294441,,,,,4.366080907,0.003365992,2.904689776,0.034536105,4.366080907,0.003365992,,,,,1.503114358,1.79E-02,13791.77196,10.63264699,13791.77196,10.63264699,,,6582.729045,78.26716104,2.095145018,2.50E-02,,,3158.844798,0,2266.241682,0,3247.430623,0,2979.429991,0,3158.844798,0,0,0,1.39386934,0,1.089950304,0,,0
1973,880,5,20866,236,19987,236,160682.1993,108.7309807,160682.1993,108.7309807,1059657.593,9822.041609,898975.3937,9822.643422,4.2,0.05,15.2,0.1,,,,,,,,,,,,,,,,,,,690016.2855,0,3849946719,0,2407572.18,0,8294431345,0,464522.9511,0,2567280699,0,225493.3344,0,1282666020,0,690016.2855,0,3849946719,0,0,0,0,0,3097588.465,0,12144378064,0,22.27591862,0,31.70147288,0,67.32057791,0,66.68353841,0,100,0,100,0,182.5934083,1.044794286,44.97800539,0.723585985,,,182.5934083,1.044794286,50.78393525,0.742623307,,,,,4.05961551,0.069317299,,,,,4.294292016,0.002905876,2.67812912,0.029262544,4.294292016,0.002905876,,,,,1.603467131,1.76E-02,23960.00762,16.21333998,23960.00762,16.21333998,,,9226.538794,100.813661,2.596857625,2.84E-02,,,5579.501238,0,3445.143375,0,5526.703671,0,5688.26579,0,5579.501238,0,0,0,1.619526571,0,0.971597298,0,,0
1974,948,5,24360,261,23411,261,180726.4857,108.5859636,180726.4857,108.5859636,1229955.087,10466.53741,1049228.601,10467.10066,3.9,0.05,14.7,0.1,,,,,,,,,,,,,,,,,,,816995.1535,0,3593847751,0,2412726.778,0,6999037634,0,536247.7761,0,2343228181,0,280747.3774,0,1250619570,0,816995.1535,0,3593847751,0,0,0,0,0,3229721.931,0,10592885385,0,25.29614533,0,33.92699553,0,65.63659207,0,65.20109764,0,100,0,100,0,190.6397528,1.011987073,44.81776092,0.670489138,,,190.6397528,1.011987073,50.49076712,0.690839826,,,,,4.253665263,0.067523602,,,,,4.520616612,0.002716124,2.299524408,0.022940047,4.520616612,0.002716124,,,,,1.965891989,1.96E-02,19885.56208,11.94784988,19885.56208,11.94784988,,,6670.650826,66.54638808,2.981052764,2.98E-02,,,4398.860551,0,2900.882809,0,4369.674403,0,4454.608202,0,4398.860551,0,0,0,1.516386852,0,0.980933497,0,,0
1975,1059,6,28105,283,27045,283,210830.4087,108.3922624,210830.4087,108.3922624,1413683.971,10957.63643,1202853.562,10958.17252,3.8,0.04,14.9,0.1,,,,,,,,,,,,,,,,,,,849943.8901,0,1036490152,0,2470613.42,0,2915655787,0,609004.6322,0,775238865.1,0,240939.2579,0,261251286.9,0,849943.8901,0,1036490152,0,0,0,0,0,3320557.31,0,3952145939,0,25.59642285,0,26.22600906,0,71.65233368,0,74.79461948,0,100,0,100,0,199.0844275,1.132591467,44.47600525,0.617065004,,,199.0844275,1.132591467,50.30008792,0.639172134,,,,,4.476220973,0.067121776,,,,,4.031410342,0.002072631,2.053960264,0.01871188,4.031410342,0.002072631,,,,,1.962749919,1.79E-02,4916.227021,2.52753373,4916.227021,2.52753373,,,2423.949082,22.08253195,2.028189065,1.85E-02,,,1219.480679,0,1180.13436,0,1272.960539,0,1084.303526,0,1219.480679,0,0,0,1.033340542,0,1.173989117,0,,0
1976,1194,7,31676,295,30482,296,242925.869,108.207108,242925.869,108.207108,1604759.857,11227.32338,1361833.988,11227.84481,3.8,0.04,15.1,0.1,,,,,,,,,,,,,,,,,,,951552.6437,0,1651213521,0,2403381.904,0,3421225082,0,643280.9383,0,1158915944,0,308271.7054,0,492297577,0,951552.6437,0,1651213521,0,0,0,0,0,3354934.548,0,5072438603,0,28.36277817,0,32.55265663,0,67.60329474,0,70.18571065,0,100,0,100,0,203.4555017,1.196225528,44.67666124,0.569116413,,,203.4555017,1.196225528,50.6616952,0.590117436,,,,,4.55395493,0.063891841,,,,,3.917049459,0.001744782,1.76481269,0.014550263,3.917049459,0.001744782,,,,,2.219527024,1.83E-02,6797.190961,3.027690626,6797.190961,3.027690626,,,2512.218899,20.71236595,2.705652347,2.23E-02,,,1735.283415,0,1423.504553,0,1801.570473,0,1596.959982,0,1735.283415,0,0,0,1.219022034,0,1.128124996,0,,0
